Maker,Type,Coil Center,Thickness ,Max lines,Suggest Min Trim loss (mm),Max MC weight (KG),Min MC Width (mm),Max MC Width (mm)
CSC ,All,HSC,1.2<T≤1.6,15,7,20000,100,1300
CSC ,All,HSC,1.6<T≤1.8,14,7,20000,100,1300
CSC ,All,HSC,1.8<T≤2.0,13,8,20000,100,1300
CSC ,All,HSC,2.0<T≤2.3,12,8,20000,100,1300
CSC ,All,HSC,2.3<T≤3.2,10,8,20000,100,1300
CSC ,All,HSC,3.2<T≤3.9,9,12,20000,100,1300
CSC ,All,HSC,3.9<T≤4.2,5,13,20000,100,1300
CSC ,All,HSC,4.2<T≤6.0,5,13,20000,100,1300
SMI,All,HSC,≤0.8,20,6,20000,100,1300
SMI,All,HSC,0.8<T≤1.0,18,6,20000,100,1300
SMI,All,HSC,1.0<T≤1.2,17,7,20000,100,1300
SMI,All,HSC,1.2<T≤1.6,15,7,20000,100,1300
SMI,All,HSC,1.6<T≤1.8,14,7,20000,100,1300
SMI,All,HSC,1.8<T≤2.0,13,8,20000,100,1300
SMI,All,HSC,2.0<T≤2.3,12,8,20000,100,1300
SMI,All,HSC,2.3<T≤3.2,10,8,20000,100,1300
SMI,All,HSC,3.2<T≤3.9,9,12,20000,100,1300
SMI,All,HSC,3.9<T≤4.2,5,13,20000,100,1300
SMI,All,HSC,4.2<T≤6.0,5,13,20000,100,1300
,F:FINISHED,HSC,0.2≤T≤1.0,14,6,3000,50,630
,F:FINISHED,HSC,1.0<T≤1.5,10,7,3000,50,630
,F:FINISHED,HSC,1.5<T≤1.6,8,7,3000,50,630
CSC,All,NST,≤1.5,30,8,20000,50,1300
CSC,All,NST,1.5<T≤2,25,8,20000,50,1300
CSC,All,NST,2<T≤2.5,16,8,20000,50,1300
CSC,All,NST,2.5<T≤3,11,8,20000,50,1300
CSC,All,NST,3<T≤3.5,8,9,20000,50,1300
CSC,All,NST,3.5<T≤4,6,11,20000,50,1300
CSC,All,NST,4<T≤4.5,4,13,20000,50,1300
CSVC,All,NST,≤1.5,30,8,20000,50,1300
CSVC,All,NST,1.5<T≤2,25,8,20000,50,1300
CSVC,All,NST,2<T≤2.5,16,8,20000,50,1300
CSVC,All,NST,2.5<T≤3,11,8,20000,50,1300
CSVC,All,NST,3<T≤3.5,8,9,20000,50,1300
CSVC,All,NST,3.5<T≤4,6,11,20000,50,1300
CSVC,All,NST,4<T≤4.5,4,13,20000,50,1300
JFE,All,NST,≤1.5,30,8,20000,50,1300
JFE,All,NST,1.5<T≤2,25,8,20000,50,1300
JFE,All,NST,2<T≤2.5,16,8,20000,50,1300
JFE,All,NST,2.5<T≤3,11,8,20000,50,1300
JFE,All,NST,3<T≤3.5,8,9,20000,50,1300
JFE,All,NST,3.5<T≤4,6,11,20000,50,1300
JFE,All,NST,4<T≤4.5,4,13,20000,50,1300
NSC,All,NST,≤1.5,30,8,20000,50,1300
NSC,All,NST,1.5<T≤2,25,8,20000,50,1300
NSC,All,NST,2<T≤2.5,16,8,20000,50,1300
NSC,All,NST,2.5<T≤3,11,8,20000,50,1300
NSC,All,NST,3<T≤3.5,8,9,20000,50,1300
NSC,All,NST,3.5<T≤4,6,11,20000,50,1300
NSC,All,NST,4<T≤4.5,4,13,20000,50,1300
POSCO,All,NST,≤1.5,30,8,20000,50,1300
POSCO,All,NST,1.5<T≤2,25,8,20000,50,1300
POSCO,All,NST,2<T≤2.5,16,8,20000,50,1300
POSCO,All,NST,2.5<T≤3,11,8,20000,50,1300
POSCO,All,NST,3<T≤3.5,8,9,20000,50,1300
POSCO,All,NST,3.5<T≤4,6,11,20000,50,1300
POSCO,All,NST,4<T≤4.5,4,13,20000,50,1300
POSCOVN,All,NST,≤1.5,30,8,20000,50,1300
POSCOVN,All,NST,1.5<T≤2,25,8,20000,50,1300
POSCOVN,All,NST,2<T≤2.5,16,8,20000,50,1300
POSCOVN,All,NST,2.5<T≤3,11,8,20000,50,1300
POSCOVN,All,NST,3<T≤3.5,8,9,20000,50,1300
POSCOVN,All,NST,3.5<T≤4,6,11,20000,50,1300
POSCOVN,All,NST,4<T≤4.5,4,13,20000,50,1300
NSSC,All,NST,≤1.5,30,8,20000,50,1300
NSSC,All,NST,1.5<T≤2,25,8,20000,50,1300
NSSC,All,NST,2<T≤2.5,16,8,20000,50,1300
NSSC,All,NST,2.5<T≤3,11,8,20000,50,1300
NSSC,All,NST,3<T≤3.5,8,9,20000,50,1300
NSSC,All,NST,3.5<T≤4,6,11,20000,50,1300
NSSC,All,NST,4<T≤4.5,4,13,20000,50,1300
POSCOVST,All,NST,≤1.5,30,8,20000,50,1300
POSCOVST,All,NST,1.5<T≤2,25,8,20000,50,1300
POSCOVST,All,NST,2<T≤2.5,16,8,20000,50,1300
POSCOVST,All,NST,2.5<T≤3,11,8,20000,50,1300
POSCOVST,All,NST,3<T≤3.5,8,9,20000,50,1300
POSCOVST,All,NST,3.5<T≤4,6,11,20000,50,1300
POSCOVST,All,NST,4<T≤4.5,4,13,20000,50,1300
CSC ,All,NST,≤1.5,30,8,20000,50,1300
CSC ,All,NST,1.5<T≤2,25,8,20000,50,1300
CSC ,All,NST,2<T≤2.5,16,8,20000,50,1300
CSC ,All,NST,2.5<T≤3,11,8,20000,50,1300
CSC ,All,NST,3<T≤3.5,8,9,20000,50,1300
CSC ,All,NST,3.5<T≤4,6,11,20000,50,1300
CSC ,All,NST,4<T≤4.5,4,13,20000,50,1300
SMI,All,NST,≤1.5,30,8,20000,50,1300
SMI,All,NST,1.5<T≤2,25,8,20000,50,1300
SMI,All,NST,2<T≤2.5,16,8,20000,50,1300
SMI,All,NST,2.5<T≤3,11,8,20000,50,1300
SMI,All,NST,3<T≤3.5,8,9,20000,50,1300
SMI,All,NST,3.5<T≤4,6,11,20000,50,1300
SMI,All,NST,4<T≤4.5,4,13,20000,50,1300
